source,target
(('duke'. 'assassin'. 2). ('ambassador'. 'ambassador'. 2). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 3). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 2). 1. 0. 1. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 3). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 3). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 3). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'ambassador'. 3). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 4). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 1. 0. 1. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 4). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 4). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 4). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 4). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 1. 0. 1. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('dead'. 'ambassador'. 3). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 3). 2. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 4). 1. 0. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 2. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 3). 1. 0. 1. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 4). 1. 0. 0. 0. 0),(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 4). 2. 1. 0. 0. 0)
(('duke'. 'assassin'. 5). ('ambassador'. 'dead'. 4). 2. 1. 0. 0. 0),(('duke'. 'assassin'. 5). ('dead'. 'dead'. 4). 2. 0. 0. 0. 0)
